name	sample_age	pop	node_id	left	right	length
EUR_24	30000	EUR	51	79057785	79061760	3975
EUR_24	30000	EUR	51	93061307	93064210	2903
EUR_24	30000	EUR	51	98401582	98496712	95130
EUR_25	30000	EUR	52	8700955	8792092	91137
EUR_25	30000	EUR	52	11722118	12039259	317141
EUR_25	30000	EUR	52	23297772	23429319	131547
EUR_25	30000	EUR	52	25110500	25252988	142488
EUR_25	30000	EUR	52	35478653	35526555	47902
EUR_25	30000	EUR	52	38857518	38939056	81538
EUR_25	30000	EUR	52	39640766	39798270	157504
EUR_25	30000	EUR	52	42031088	42144091	113003
EUR_25	30000	EUR	52	42407528	42472105	64577
EUR_25	30000	EUR	52	44646009	44690341	44332
EUR_25	30000	EUR	52	48702472	48960342	257870
EUR_25	30000	EUR	52	53052426	53513745	461319
EUR_25	30000	EUR	52	69865186	69999900	134714
EUR_25	30000	EUR	52	81115460	81342840	227380
EUR_25	30000	EUR	52	91638789	91703631	64842
EUR_25	30000	EUR	52	98224591	98274472	49881
EUR_25	30000	EUR	53	3572612	3717933	145321
EUR_25	30000	EUR	53	8909944	9277203	367259
EUR_25	30000	EUR	53	20826905	20869260	42355
EUR_25	30000	EUR	53	24035360	24045790	10430
EUR_25	30000	EUR	53	41464246	41516453	52207
EUR_25	30000	EUR	53	42473766	42585913	112147
EUR_25	30000	EUR	53	43383378	43448156	64778
EUR_25	30000	EUR	53	45664634	45683743	19109
EUR_25	30000	EUR	53	50913148	50937770	24622
EUR_25	30000	EUR	53	55404998	55704961	299963
EUR_25	30000	EUR	53	56225824	56371898	146074
EUR_25	30000	EUR	53	58219771	58269219	49448
EUR_25	30000	EUR	53	59736955	59898646	161691
EUR_25	30000	EUR	53	66498150	66623729	125579
EUR_25	30000	EUR	53	68464340	68523737	59397
EUR_25	30000	EUR	53	68685459	68693353	7894
EUR_25	30000	EUR	53	69442543	69475020	32477
EUR_25	30000	EUR	53	69748554	70097255	348701
EUR_25	30000	EUR	53	71548511	71644796	96285
EUR_25	30000	EUR	53	79057785	79061760	3975
EUR_25	30000	EUR	53	89696605	89890534	193929
EUR_25	30000	EUR	53	92022500	92167582	145082
EUR_25	30000	EUR	53	97400868	97555603	154735
